nome_fundo;CNPJ;PL_20210114;share
LEGACY CAPITAL B FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.329.404/0001-94;480.58;0.27
MAUÁ MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;05.903.038/0001-98;482.33;0.27
MZK DINÂMICO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.762.329/0001-71;466.94;0.27
VINCI ATLAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.572.582/0001-49;476.37;0.27
PACIFICO LB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;17.002.861/0001-01;429.41;0.26
GIANT SIGMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.826.089/0001-21;439.6;0.25
SAFRA GALILEO AB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;08.935.353/0001-95;445.33;0.25
SOLANA EQUITY HEDGE FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;25.423.215/0001-46;442.9;0.25
XP MACRO INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;26.549.933/0001-26;428.49;0.25
BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO LONG AND SHORT;09.241.809/0001-80;421.32;0.24
CLARITAS TOTAL RETURN FUNDO DE INVESTIMENTOS EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;29.298.540/0001-85;419.26;0.24
GÁVEA MACRO PLUS CGI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;32.745.426/0001-60;404.99;0.24
KAPITALO K10 FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;29.726.133/0001-21;409.12;0.24
KINEA PREV II XTR XP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;32.320.644/0001-53;403.48;0.23
OCCAM LONG E SHORT PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;17.164.789/0001-19;400.39;0.23
TAVOLA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO II;34.096.196/0001-81;404.58;0.23
NW3 EVENT DRIVEN PLUS FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.396.708/0001-05;386.21;0.22
ADAM MACRO STRATEGY ADVISORY D60 FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.298.529/0001-15;373.2;0.21
CANVAS ENDURO III FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;13.106.979/0001-29;371.03;0.21
